x,y,z
32,7,3630
10,41,7828
26,19,5310
20,13,2903
45,27,12938
15,43,9814
31,21,6961
16,45,10808
35,13,5633
24,34,9256
48,20,11177
2,15,1025
40,5,4624
31,16,5576
15,3,853
17,4,1142
21,13,3058
39,8,5169
12,7,1029
25,28,7599
45,42,19582
5,41,6618
48,16,9742
40,36,14978
7,31,4470
28,27,8042
26,2,1841
20,49,13595
32,29,9767
18,35,7997
15,25,4593
17,1,810
14,33,6443
0,22,1708
48,49,24460
3,20,1772
41,31,13241
48,19,10809
40,7,5117
12,30,5215
29,8,3339
14,16,2568
46,35,16678
9,6,682
44,11,7098
6,32,4512
36,23,8838
11,39,7469
16,28,5537
30,10,3933
34,26,9297
11,47,10062
41,19,8849
23,28,7112
37,11,5529
27,26,7484
17,13,2465
31,14,5064
35,41,15378
3,23,2238
17,21,4050
13,22,3567
12,21,3199
30,28,8884
33,12,4966
27,8,3021
13,26,4446
7,15,1525
40,13,6744
31,23,7557
3,49,8530
23,18,4472
43,36,16037
17,4,1142
45,6,5903
10,8,964
31,32,10537
15,47,11237
4,9,595
46,20,10587
6,32,4511
22,37,9720
31,22,7256
4,7,437
33,5,3377
3,44,7005
33,5,3377
31,26,8497
15,6,1192
5,7,497
1,19,1410
13,8,1243
34,0,2564
41,49,21450
26,12,3672
25,7,2538
16,38,8427
25,7,2537
0,24,2006
30,10,3934
5,30,3878
8,35,5658
39,22,9312
45,32,15003
16,2,831
12,17,2459
46,23,11698
31,36,12016
18,23,4697
0,39,5006
21,21,4802
42,2,4290
2,49,8268
18,33,7387
44,27,12618
10,17,2187
22,13,3216
29,18,5678
14,22,3738
21,41,10841
11,8,1052
1,48,7703
41,42,18027
8,8,797
43,31,13901
4,7,437
33,32,11126
41,16,7886
10,25,3684
5,32,4322
30,5,2903
11,46,9716
48,2,5472
28,41,13012
38,0,3168
12,14,1967
41,36,15327
45,21,10657
34,5,3544
28,44,14229
29,41,13338
39,14,6800
47,48,23481
32,24,8118
25,36,10222
27,7,2830
31,38,12793
35,41,15377
10,13,1583
40,22,9588
24,11,3137
13,41,8601
25,42,12442
17,15,2826
3,11,702
20,12,2718
38,44,17819
13,28,4922
19,27,5917
46,42,19982
1,43,6258
38,27,10781
12,46,9999
48,15,9397
2,25,2435
9,7,777
5,12,962
41,8,5582
8,16,1782
47,18,10160
10,30,4814
35,33,12113
6,35,5238
5,23,2514
14,17,2748
26,7,2681
41,45,19457
15,38,8168
35,36,13293
8,0,198
3,1,82
14,44,9875
18,45,11407
16,49,12300
28,29,8680
17,39,9017
6,32,4511
17,2,914
16,28,5538
1,0,23
8,21,2591
4,21,2047
33,31,10762
5,39,6065
49,7,7097
28,40,12618
15,16,2713
35,14,5901
2,42,6209
9,43,8194
21,22,5046
33,46,16867
1,8,343
24,29,7656
32,1,2459
26,28,7848
16,18,3248
10,18,2354
30,46,15778
49,38,19219
48,39,19309
8,20,2417
7,31,4470
23,3,1638
28,48,15937
29,33,10313
1,48,7702
40,47,20038
8,28,3977
15,20,3488
33,20,7143
18,26,5442
26,49,15660
44,46,21168
8,36,5921
39,15,7094
43,17,8722
35,3,3293
47,16,9465
40,24,10285
25,16,4382
46,10,7277
46,24,12079
44,19,9666
38,1,3371
16,16,2861
20,24,5346
33,4,3174
32,28,9425
34,8,4203
25,4,2030
32,46,16499
31,0,2152
6,40,6567
29,11,3977
41,5,4818
19,5,1474
15,44,10161
49,11,8337
8,39,6750
11,10,1293
1,20,1542
32,48,17405
25,8,2718
24,14,3755
25,41,12057
13,5,898
42,45,19856
19,30,6748
35,1,2897
26,22,6102
18,19,3789
49,43,21714
35,0,2709
30,15,5114
37,5,4065
17,19,3618
12,18,2636
5,27,3258
15,24,4361
42,13,7215
49,0,5159
23,1,1361
45,45,21074
11,32,5516
17,10,1970
45,31,14577
27,47,15149
21,12,2866
6,38,6018
33,38,13443
8,15,1637
48,6,6572
47,16,9464
38,47,19241
21,2,1286
40,34,14135
12,35,6545
41,12,6687
5,46,8103
45,48,22619
29,48,16299
14,3,774
49,48,24359
20,36,8837
18,2,1002
17,28,5751
21,23,5298
43,26,11916
37,35,13546
15,10,1729
19,8,1909
39,39,15925
16,5,1168
8,41,7332
19,15,3133
37,27,10489
18,45,11407
7,10,921
35,15,6173
43,39,17389
47,34,16592
40,21,9248
20,24,5345
31,31,10181
5,22,2342
47,0,4761
46,9,6980
19,1,977
1,40,5462
40,41,17188
21,16,3667
26,38,11238
35,4,3501
7,25,3186
32,23,7806
41,5,4818
26,48,15228
13,32,5947
15,30,5849
32,25,8436
20,45,12023
42,18,8785
5,32,4322
45,47,22098
30,38,12474
16,16,2862
18,40,9628
32,40,13926
30,13,4623
31,35,11637
10,9,1076
5,5,353
21,37,9442
24,39,11005
41,45,19458
20,22,4847
32,26,8760
23,9,2609
27,44,13892
23,18,4472
39,27,11077
6,32,4511
23,1,1361
37,42,16534
1,45,6817
40,44,18586
17,0,711
5,15,1313
34,40,14603
8,31,4661
25,34,9530
15,38,8169
16,44,10449
27,14,4292
30,4,2716
0,32,3437
7,8,720
43,34,15165
1,15,938
33,47,17322
48,42,20792
14,10,1614
39,42,17273
25,47,14457
14,16,2568
17,28,5750
28,23,6838
34,27,9637
40,20,8914
27,11,3630
1,31,3402
48,27,13921
15,8,1448
45,22,11022
20,26,5867
31,38,12793
19,19,3965
26,11,3461
38,19,8069
14,1,587
33,47,17322
12,35,6545
2,43,6486
46,33,15787
20,12,2717
16,42,9752
46,13,8207
19,4,1341
36,28,10558
18,0,787
41,7,5321
23,37,10001
47,2,5265
29,46,15423
36,46,17991
3,11,702
47,5,6065
3,8,452
45,26,12543
2,34,4217
32,18,6336
16,1,732
42,26,11609
29,33,10314
35,8,4389
32,20,6905
46,36,17132
42,6,5269
46,40,19007
48,43,21297
15,46,10873
42,34,14818
27,18,5261
15,22,3913
35,1,2898
46,35,16678
31,5,3058
16,35,7497
48,38,18828
24,49,14956
